X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
-55,14,-35,-29.39,0.329223,86.97,2358.578125,0.6875,32.83
-58,11,-33,-41.7,0.334347,86.72,2359.25,0.671875,32.83
-59,13,-31,-51.6,0.334347,86.48,2359.890625,0.640625,32.83
-54,12,-30,-55.37,0.335628,86.25,2360.578125,0.6875,32.81
-53,13,-30,-50.01,0.33819,86.05,2361.265625,0.6875,32.81
-58,11,-29,-35.07,0.33819,85.85,2361.96875,0.703125,32.81
-54,10,-25,-13.58,0.33819,85.67,2362.59375,0.625,32.81
-59,13,-24,7.73,0.336909,85.5,2363.1875,0.59375,32.84
-59,14,-23,20.02,0.339471,85.32,2363.796875,0.609375,32.84
-57,7,-24,16.64,0.339471,85.1,2364.375,0.578125,32.84
-59,14,-22,-2.85,0.329223,84.92,2364.984375,0.609375,32.84
-60,9,-24,-31.12,0.336909,84.77,2365.625,0.640625,32.84
-60,16,-22,-55.96,0.357405,84.55,2366.21875,0.59375,32.84
-61,15,-22,-66.11,0.374059,84.25,2366.828125,0.609375,32.84
-60,15,-20,-56.49,0.367653,84,2367.5,0.671875,32.84
-60,10,-18,-29.02,0.344595,83.8,2368.171875,0.671875,32.83
-61,24,-23,9.83,0.36381,83.6,2368.828125,0.65625,32.83
-64,21,-4,52.44,0.37534,83.37,2389.109375,0.640625,32.83
-58,34,-16,93.31,0.380464,83.18,2389.734375,0.625,32.83
-58,12,-20,129.66,0.374059,82.83,2408.203125,0.609375,32.83
-61,15,-18,160.02,0.374059,82.45,2413.3125,0.59375,32.83
-58,12,-14,182.25,0.374059,82.28,2413.9375,0.625,32.83
-63,14,-18,193.23,0.366372,82.13,2414.640625,0.703125,32.83
-66,11,-16,186.4,0.366372,81.98,2415.328125,0.6875,32.84
-61,11,-14,156.3,0.376621,81.83,2416.03125,0.703125,32.84
-63,9,-15,107.49,0.379183,81.8,2416.71875,0.6875,32.84
-59,14,-14,52.27,0.371497,81.77,2417.453125,0.734375,32.84
-62,11,-17,4.57,0.376621,81.68,2418.140625,0.6875,32.83
-60,13,-16,-26.89,0.367653,81.62,2418.8125,0.671875,32.83
-61,14,-17,-41.33,0.368935,81.55,2419.484375,0.671875,32.83
-58,16,-16,-43.65,0.36381,81.5,2420.171875,0.6875,32.83
-59,16,-19,-40.31,0.362529,81.37,2420.875,0.703125,32.84
-62,13,-19,-36.12,0.359967,81.25,2421.546875,0.671875,32.84
-59,14,-20,-32.71,0.354843,81.32,2422.203125,0.65625,32.84
-58,14,-19,-29.55,0.362529,81.38,2422.828125,0.625,32.84
-59,14,-22,-26.41,0.365091,81.48,2423.46875,0.640625,32.87
